# ----------------------------------------
# エクスポートされたレポート（CSV）
# アカウント: TimeStampアプリ
# プロパティ: TimeStamp
# ----------------------------------------
# 
# 「プラットフォーム」に含まれる要素 Android
# 開始日: 20201215
# 終了日: 20201215

国,ユーザー
Japan,148
United States,2
Ethiopia,1
Sweden,1
Uzbekistan,1

# 開始日: 20201215
# 終了日: 20201215
国,ユーザー,新しいユーザー
Japan,678,77
United States,45,11
United Kingdom,4,0
Sweden,3,0
Australia,2,0
Germany,2,1
Italy,2,1
South Korea,2,0
Taiwan,2,0
Bahrain,1,0
Canada,1,0
Czechia,1,0
Denmark,1,0
Ethiopia,1,0
Finland,1,0
Hungary,1,0
Poland,1,0
Singapore,1,0
Spain,1,1
Uzbekistan,1,0
Vietnam,1,1

# 「プラットフォーム」に含まれる要素 Android
# 開始日: 20201215
# 終了日: 20201215

国,ユーザー,新しいユーザー,エンゲージのあったセッション数,エンゲージメント率,エンゲージのあったセッション数（1 ユーザーあたり）,平均エンゲージメント時間,イベント数,コンバージョン,合計収益
Japan,148,49,224,1,1.5135135135135136,205.66216216216216,2817,643,0
United States,2,1,2,1,1,10.5,16,6,0
Ethiopia,1,0,1,1,1,32,5,1,0
Sweden,1,0,7,1,7,57,47,14,0
Uzbekistan,1,0,10,1,10,1076,181,28,0
Chile,0,0,0,0,0,0,1,0,0
